index,video,begin_s,end_s,begin_f,end_f
0,video_test_0000188,14.0,17.7,44,55
1,video_test_0000188,22.3,27.2,70,84
2,video_test_0000188,91.2,103.9,285,324
3,video_test_0000188,504.6,510.6,1577,1594
4,video_test_0000188,513.2,517.8,1604,1617
0,video_test_0000220,37.2,43.9,117,137
1,video_test_0000220,53.5,56.0,167,174
2,video_test_0000220,56.9,67.6,178,211
3,video_test_0000220,97.5,104.1,305,324
4,video_test_0000220,129.8,132.9,406,414
5,video_test_0000220,134.0,136.3,419,425
6,video_test_0000220,136.9,142.0,428,443
7,video_test_0000220,177.3,184.1,554,574
8,video_test_0000220,196.5,205.3,614,640
9,video_test_0000220,207.7,214.1,649,668
10,video_test_0000220,234.6,237.6,733,741
11,video_test_0000220,238.8,243.7,746,760
0,video_test_0000308,25.0,28.6,79,89
1,video_test_0000308,29.7,31.8,93,99
2,video_test_0000308,40.6,43.7,127,136
3,video_test_0000308,64.5,68.6,202,214
4,video_test_0000308,70.0,73.4,219,229
5,video_test_0000308,75.3,78.1,236,243
6,video_test_0000308,89.4,94.9,280,296
7,video_test_0000308,98.0,101.7,306,317
8,video_test_0000308,130.9,136.1,409,424
9,video_test_0000308,136.8,140.3,428,437
10,video_test_0000308,147.8,151.9,462,474
11,video_test_0000308,181.7,186.0,568,580
12,video_test_0000308,198.4,201.3,620,628
13,video_test_0000308,237.7,240.9,743,752
0,video_test_0000367,8.7,10.6,28,33
0,video_test_0000442,7.3,10.9,23,34
1,video_test_0000442,11.4,14.6,36,45
2,video_test_0000442,15.7,20.9,50,65
3,video_test_0000442,21.7,35.3,68,110
4,video_test_0000442,50.7,52.9,159,165
5,video_test_0000442,55.3,57.4,173,179
6,video_test_0000442,58.4,72.0,183,224
7,video_test_0000442,134.0,140.5,419,438
0,video_test_0000538,0.03,4.1,1,12
1,video_test_0000538,4.6,11.2,15,34
2,video_test_0000538,12.6,18.4,40,57
3,video_test_0000538,19.0,23.1,60,72
4,video_test_0000538,23.6,29.9,74,93
