,video,begin,end
0,video_validation_0000481,0.8,9.4
1,video_validation_0000481,34.4,42.4
2,video_validation_0000481,55.8,60.9
3,video_validation_0000481,62.6,71.6
4,video_validation_0000481,85.1,92.2
5,video_validation_0000481,101.5,107.0
6,video_validation_0000481,111.5,116.1
7,video_validation_0000481,129.1,137.1
8,video_validation_0000481,146.7,150.5
9,video_validation_0000481,151.0,158.7
10,video_validation_0000481,172.8,184.3
11,video_validation_0000481,192.2,197.5
12,video_validation_0000481,199.8,204.1
13,video_validation_0000481,214.5,223.5
14,video_validation_0000481,233.5,238.5
15,video_validation_0000481,239.4,247.6
16,video_validation_0000481,266.3,276.6
17,video_validation_0000481,288.1,293.6
18,video_validation_0000481,294.8,300.0
19,video_validation_0000481,313.9,324.0
20,video_validation_0000481,332.5,337.6
21,video_validation_0000481,339.4,349.4
22,video_validation_0000481,359.9,370.8
23,video_validation_0000481,380.5,385.7
24,video_validation_0000481,386.4,394.7
25,video_validation_0000481,400.2,405.7
26,video_validation_0000481,416.4,422.4
27,video_validation_0000482,27.7,41.0
28,video_validation_0000482,50.7,59.6
29,video_validation_0000482,65.7,69.4
30,video_validation_0000483,53.8,70.9
31,video_validation_0000483,79.4,89.0
32,video_validation_0000483,89.7,94.9
33,video_validation_0000484,15.12,27.32
34,video_validation_0000484,35.2,38.8
35,video_validation_0000484,78.2,92.6
36,video_validation_0000484,108.0,112.2
37,video_validation_0000484,116.12,123.6
38,video_validation_0000484,142.2,152.68
39,video_validation_0000484,161.52,166.12
40,video_validation_0000484,166.8,175.12
41,video_validation_0000484,200.32,210.0
42,video_validation_0000484,217.0,221.72
43,video_validation_0000484,223.2,228.72
44,video_validation_0000484,272.4,283.32
45,video_validation_0000484,293.8,299.6
46,video_validation_0000484,304.12,311.2
47,video_validation_0000484,340.72,349.72
48,video_validation_0000484,381.2,393.12
49,video_validation_0000484,400.92,407.4
50,video_validation_0000484,411.6,419.8
51,video_validation_0000484,453.4,462.92
52,video_validation_0000484,470.8,476.12
53,video_validation_0000484,480.92,487.72
54,video_validation_0000484,502.6,512.0
55,video_validation_0000484,520.28,534.92
56,video_validation_0000484,559.2,571.4
57,video_validation_0000484,584.0,589.8
58,video_validation_0000484,593.2,601.0
59,video_validation_0000484,633.12,644.2
60,video_validation_0000484,656.6,660.8
61,video_validation_0000484,665.2,671.32
62,video_validation_0000484,686.12,695.4
63,video_validation_0000484,701.4,706.2
64,video_validation_0000484,709.32,715.52
65,video_validation_0000484,739.32,749.6
66,video_validation_0000484,755.8,761.8
67,video_validation_0000484,767.0,773.6
68,video_validation_0000484,825.0,832.52
69,video_validation_0000484,841.0,846.2
70,video_validation_0000484,848.52,858.6
71,video_validation_0000484,891.92,902.32
72,video_validation_0000484,908.0,913.32
73,video_validation_0000484,914.0,925.2
74,video_validation_0000485,15.7,24.7
75,video_validation_0000485,36.2,47.9
76,video_validation_0000485,65.0,74.6
77,video_validation_0000485,87.4,100.6
78,video_validation_0000485,130.2,139.5
79,video_validation_0000485,151.2,163.4
80,video_validation_0000485,183.3,190.6
81,video_validation_0000485,205.5,216.5
82,video_validation_0000485,238.7,242.5
83,video_validation_0000486,10.2,17.9
84,video_validation_0000486,19.2,25.5
85,video_validation_0000486,25.9,29.5
86,video_validation_0000486,29.8,37.6
87,video_validation_0000486,40.0,46.9
88,video_validation_0000486,50.1,55.2
89,video_validation_0000486,58.2,67.6
90,video_validation_0000487,0.03,7.8
91,video_validation_0000487,57.4,61.6
92,video_validation_0000487,61.9,68.0
93,video_validation_0000487,69.6,74.2
94,video_validation_0000487,75.1,88.0
95,video_validation_0000487,92.3,96.3
96,video_validation_0000487,97.0,103.4
97,video_validation_0000487,104.0,113.7
98,video_validation_0000487,119.9,124.6
99,video_validation_0000487,124.7,129.9
100,video_validation_0000487,130.9,133.3
101,video_validation_0000487,134.0,139.5
102,video_validation_0000487,139.9,146.4
103,video_validation_0000487,148.4,153.9
104,video_validation_0000487,165.2,169.8
105,video_validation_0000487,170.3,174.4
106,video_validation_0000487,174.6,177.7
107,video_validation_0000487,179.3,182.7
108,video_validation_0000487,187.9,191.6
109,video_validation_0000487,193.7,196.0
110,video_validation_0000487,197.1,202.7
111,video_validation_0000487,205.9,214.0
112,video_validation_0000487,215.1,224.1
113,video_validation_0000487,228.5,241.9
114,video_validation_0000487,242.8,252.4
115,video_validation_0000487,255.9,262.2
116,video_validation_0000488,15.8,27.4
117,video_validation_0000488,27.9,36.0
118,video_validation_0000488,44.0,51.6
119,video_validation_0000488,51.9,66.5
120,video_validation_0000488,67.9,82.2
121,video_validation_0000488,82.9,90.2
122,video_validation_0000488,91.0,106.4
123,video_validation_0000489,3.2,11.3
124,video_validation_0000489,19.8,27.4
125,video_validation_0000489,87.8,96.6
126,video_validation_0000489,109.9,115.6
127,video_validation_0000489,157.0,167.8
128,video_validation_0000489,176.7,183.0
129,video_validation_0000490,83.3,92.6
130,video_validation_0000490,93.6,98.8
131,video_validation_0000490,99.4,106.3
132,video_validation_0000490,106.8,111.5
133,video_validation_0000490,112.6,118.0
134,video_validation_0000490,118.9,125.3
135,video_validation_0000490,126.9,136.9
136,video_validation_0000490,137.7,145.1
137,video_validation_0000490,145.7,151.0
138,video_validation_0000490,151.0,157.2
139,video_validation_0000490,158.1,165.0
140,video_validation_0000490,165.5,171.2
141,video_validation_0000490,171.7,181.7
142,video_validation_0000490,181.7,188.3
143,video_validation_0000490,188.3,194.4
144,video_validation_0000490,233.1,236.1
145,video_validation_0000490,237.7,240.6
146,video_validation_0000490,242.3,245.9
147,video_validation_0000490,248.2,250.5
148,video_validation_0000490,252.6,255.2
149,video_validation_0000490,258.4,261.0
150,video_validation_0000490,261.9,265.7
151,video_validation_0000490,267.0,270.2
152,video_validation_0000490,286.1,288.0
153,video_validation_0000490,291.0,293.6
154,video_validation_0000490,295.4,298.3
155,video_validation_0000490,299.8,302.2
156,video_validation_0000490,304.2,307.4
157,video_validation_0000490,317.5,320.2
158,video_validation_0000490,322.0,324.9
159,video_validation_0000490,327.0,329.6
160,video_validation_0000490,333.5,336.2
161,video_validation_0000490,338.1,341.2
162,video_validation_0000665,153.6,157.1
163,video_test_0000062,1.4,5.1
164,video_test_0000062,10.3,14.5
165,video_test_0000242,0.03,6.7
166,video_test_0000242,11.8,20.7
167,video_test_0000355,233.1,240.1
168,video_test_0000355,245.5,248.2
169,video_test_0000379,8.21,16.98
170,video_test_0000379,23.89,38.41
171,video_test_0000379,39.21,47.31
172,video_test_0000379,74.61,81.31
173,video_test_0000379,88.69,101.9
174,video_test_0000379,130.0,136.7
175,video_test_0000379,185.89,191.79
176,video_test_0000379,199.6,212.21
177,video_test_0000379,243.11,249.52
178,video_test_0000379,287.19,295.3
179,video_test_0000379,302.1,315.92
180,video_test_0000379,317.08,328.29
181,video_test_0000379,346.01,353.29
182,video_test_0000379,359.59,373.61
183,video_test_0000379,374.91,384.38
184,video_test_0000379,434.9,439.41
185,video_test_0000379,447.51,462.4
186,video_test_0000379,463.0,475.61
187,video_test_0000379,496.2,503.2
188,video_test_0000379,538.91,545.51
189,video_test_0000379,581.72,587.99
190,video_test_0000379,597.3,609.61
191,video_test_0000379,656.49,663.3
192,video_test_0000379,671.5,684.78
193,video_test_0000379,687.49,697.5
194,video_test_0000379,756.79,768.7
195,video_test_0000379,777.81,784.08
196,video_test_0000379,801.0,808.51
197,video_test_0000379,815.42,829.2
198,video_test_0001079,353.1,355.6
199,video_test_0001079,350.6,352.6
200,video_test_0001079,356.2,371.4
201,video_test_0001079,372.6,374.6
202,video_test_0001079,382.1,386.7
203,video_test_0001079,394.1,399.3
204,video_test_0001079,459.5,465.2
205,video_test_0001079,465.3,479.2
206,video_test_0001219,0.4,5.9
207,video_test_0001219,18.1,26.1
208,video_test_0001219,140.8,146.3
209,video_test_0001281,36.2,40.21
210,video_test_0001281,40.81,52.29
211,video_test_0001281,53.49,59.09
212,video_test_0001369,34.5,43.31
213,video_test_0001369,57.29,60.79
214,video_test_0001369,61.39,67.1
215,video_test_0001369,81.92,89.49
216,video_test_0001369,106.81,110.21
217,video_test_0001369,127.79,135.8
218,video_test_0001369,151.18,156.09
219,video_test_0001369,169.5,178.91
220,video_test_0001369,196.0,199.2
221,video_test_0001369,218.69,226.99
222,video_test_0001369,243.11,245.71
223,video_test_0001369,246.11,252.29
224,video_test_0001369,263.7,274.01
225,video_test_0001369,288.19,293.59
226,video_test_0001369,305.61,314.71
227,video_test_0001369,324.79,332.4
228,video_test_0001369,351.58,355.49
229,video_test_0001369,366.2,374.41
230,video_test_0001369,389.89,394.29
231,video_test_0001369,394.99,402.5
232,video_test_0001369,409.91,416.88
233,video_test_0001369,431.5,434.6
234,video_test_0001369,436.9,442.31
235,video_test_0001369,458.19,465.3
236,video_test_0001369,488.49,496.3
237,video_test_0001369,515.32,524.79
238,video_test_0001459,4.6,15.2
239,video_test_0001459,66.8,76.52
240,video_test_0001459,90.2,99.6
241,video_test_0001459,145.52,153.52
242,video_test_0001459,161.0,168.6
243,video_test_0001459,175.8,183.8
244,video_test_0001459,208.32,212.12
245,video_test_0001459,217.4,227.6
246,video_test_0001459,234.8,248.32
247,video_test_0001459,259.32,269.2
248,video_test_0001459,282.6,289.12
249,video_test_0001459,315.12,325.12
250,video_test_0001459,349.52,360.2
251,video_test_0001459,368.32,372.8
252,video_test_0001459,383.0,392.12
253,video_test_0001459,432.72,441.0
254,video_test_0001459,477.2,489.4
255,video_test_0001459,498.0,511.92
256,video_test_0001459,517.0,526.12
257,video_test_0001459,532.0,538.72
258,video_test_0001459,543.8,551.8
259,video_test_0001459,557.2,568.8
260,video_test_0001459,569.28,577.6
261,video_test_0001459,592.2,598.4
262,video_test_0001459,613.92,622.2
263,video_test_0001459,632.4,644.0
264,video_test_0001459,654.8,663.6
265,video_test_0001459,678.12,684.52
266,video_test_0001459,696.4,706.2
267,video_test_0001459,716.72,724.8
268,video_test_0001459,737.4,744.92
269,video_test_0001459,759.12,766.6
270,video_test_0001459,782.8,791.4
271,video_test_0001459,802.12,811.52
272,video_test_0001495,0.03,8.91
273,video_test_0001495,22.79,26.99
274,video_test_0001495,31.7,37.0
275,video_test_0001495,43.21,52.69
276,video_test_0001495,61.59,65.3
277,video_test_0001495,69.2,78.61
278,video_test_0001495,98.3,108.91
279,video_test_0001495,116.02,119.09
280,video_test_0001495,123.09,131.3
281,video_test_0001495,144.81,152.09
282,video_test_0001495,159.89,166.2
283,video_test_0001495,170.5,174.11
284,video_test_0001495,181.82,191.29
